x1,x2
0.496271308,-0.342753486
-0.166299562,0.922342089
0.718956009,0.665290385
-0.337840037,0.912074315
0.103768466,0.116945884
0.702804077,0.667719759
-0.6149035,0.881684228
0.667834895,-0.456814708
0.803439194,0.768418567
0.434519427,0.833548263
-0.451525899,0.867687892
0.573178884,-0.41343333
1.566416992,-0.440186061
1.396257689,-0.353635293
1.011969177,-0.562964376
1.071866136,-0.033928733
-0.067704888,0.985936552
1.739636396,-0.173038833
0.214441476,-0.128790119
0.984291968,-0.469512915
1.998866985,0.349441403
1.132009496,-0.548605573
0.082510822,0.989595942
0.713686156,-0.499898527
-1.036179694,0.389092784
0.475082269,-0.369990181
0.18580061,0.952637594
0.119730858,0.022406086
1.993655073,0.4454781
0.637445824,0.74790066
1.068196213,-0.482278101
-0.148473534,1.050312758
0.386806775,0.980657371
-0.17867141,0.940450455
1.28225842,-0.396342683
-0.980326278,0.100862997
1.987377315,0.464476588
0.126747575,-0.112373102
0.444393794,-0.291782627
0.615013112,0.72449528
-0.907855535,0.515206398
0.006889542,0.971489117
1.815500768,0.005441867
1.973811225,0.316883897
0.88813884,-0.557867083
0.013169431,1.01493028
1.958637427,0.154445751
0.466268928,0.879143838
0.42397682,0.988572215
0.669983765,0.789332731
0.549955536,0.826760298
0.652881042,0.678938571
0.167620134,0.124024881
2.021983079,0.289367022
2.036311811,0.392122784
-0.705304116,0.802209443
0.72172124,-0.446847131
-1.057252237,0.288871342
0.538738185,0.707988152
-0.730453336,0.641255188
-0.085058403,1.040616915
0.446516799,0.817575473
0.895366621,0.414274478
0.299042303,-0.121881919
0.340814514,-0.268885782
0.640343448,-0.425106724
-0.104820555,0.874744548
1.025807547,0.030871384
1.500083371,-0.388379593
1.058556583,-0.486871461
0.153142636,0.143905963
0.6988317,0.732749835
0.337857,1.001805562
0.582375816,0.779731101
0.516630643,0.908242054
-0.012160731,0.549716815
0.377415283,-0.209377158
0.398307413,0.876079773
0.079608719,0.407016839
0.932145815,0.253114419
0.39030422,-0.209081661
-0.548918653,0.775369489
0.601761218,-0.472309666
0.330164247,-0.214821234
1.87019758,0.073265906
0.239897615,-0.051028347
-0.173535712,1.009318473
0.596136488,-0.400319379
0.573521262,-0.352605258
2.056515666,0.169410145
0.608282627,0.768349396
0.009094153,0.943834905
0.940722135,0.280645491
0.460975056,-0.396293062
1.592816403,-0.425293632
1.495644161,-0.381199328
1.721367353,-0.131403377
1.575977226,-0.28695985
0.0200877,0.569959224
0.811550653,0.576702103
0.055550147,0.272523492
1.819474548,-0.054581542
1.103557817,-0.453436965
0.409391516,1.025251558
0.737368738,0.751975172
0.872073802,0.504963641
0.785828727,-0.466771344
0.962391962,-0.564114832
-0.110209564,0.953937923
-0.070268425,0.997614462
1.378774015,-0.458579216
1.738328021,-0.388595162
0.639143575,-0.496514826
0.078785963,-1.83E-06
0.040086944,0.090268352
1.576895562,-0.287796689
-0.200911834,1.063325923
0.998387141,0.144506205
0.323511929,-0.122834211
0.264925795,1.015290279
0.100261246,-0.06560249
1.658930396,-0.317579869
1.947505177,0.131751045
0.983862295,-0.48442856
0.157344756,-0.017764862
0.891421118,-0.564348119
1.660918168,-0.35771825
-0.800243622,0.655224201
-0.887394311,0.572426057
0.19267552,-0.208585052
0.436820711,-0.373581503
1.544491811,-0.292623577
0.781851289,0.650671664
-0.974938245,0.42330341
2.057087519,0.445393593
0.104282721,0.139031153
-0.900359557,0.514926179
0.110122916,0.15203961
0.132427545,-0.100306924
1.588997091,-0.316329721
0.635978632,-0.299897536
-0.931900188,0.393856401
0.439266577,-0.440380956
0.14152062,0.10624562
-0.918870189,0.431856031
0.962586574,-0.431892297
-0.217579219,0.993247162
0.800561796,-0.441895295
-1.040423473,0.047103059
1.044428004,0.208865482
1.810265099,0.077612654
1.759603562,-0.009135814
0.902234529,0.578826156
-0.012209883,0.400599069
-0.821795342,0.444679868
0.193362886,-0.173325101
1.713100024,-0.297758383
-0.967451995,0.222840371
1.055905397,-0.589195039
0.504377876,0.887086861
0.547195004,0.819841314
0.299226492,-0.193671105
1.487537118,-0.376295615
0.835609161,0.513659311
0.658153517,-0.423460872
1.233341679,-0.417314497
0.809140681,0.420954739
0.746324459,0.693302577
0.949127625,0.445078042
1.054586548,0.125272876
0.517902151,0.890200735
1.768828705,-0.051471034
0.205700965,-0.161854076
0.739271374,0.680402305
0.262667239,0.935655124
0.342982783,-0.260147654
1.475911583,-0.406119243
-0.504363701,0.856305387
1.913484039,0.238541632
0.00402296,0.175472118
-0.55424716,0.674362837
0.970431911,0.213194458
0.928016728,0.114637845
1.114423781,-0.505298916
0.413874809,1.037991409
-0.909651204,0.566536968
0.129417106,0.983639594
0.25208664,-0.173060767
2.046958886,0.18112189
0.668592342,0.790053448
1.040943091,0.045980371
-0.942210764,0.466921032
0.899338687,-0.583971015
-0.948669308,0.43053789
-0.028274393,1.008480251
0.377595667,-0.349484189
0.177069684,0.978918824
2.010136849,0.261437972
-0.411131004,0.892557617
1.306855176,-0.507744696
-1.060357092,0.0386466
-0.736547731,0.808592347
1.91021162,0.181974679
0.877901106,-0.447352821
0.85232828,0.416397709
-0.369798604,0.969104716
1.331885879,-0.389373432
-0.020268858,0.176745838
0.46689378,-0.341575361
-0.488443955,0.868593766
1.583978805,-0.33380039
0.680046277,-0.516741243
-0.433419595,0.840947048
2.047736711,0.11577495
-0.02538168,0.204912109
0.040867787,0.437196667
1.409347162,-0.32289744
0.241290314,-0.14864414
0.547439036,0.792839258
0.419439299,0.934154853
0.990374106,0.317210175
-0.932609216,0.226892057
0.96414494,0.154370224
0.365349764,0.88055635
1.966250254,0.282547716
1.382008151,-0.428482216
1.77457046,-0.079092743
1.279361785,-0.475286815
-0.327030025,0.942493536
-0.846831474,0.598684217
1.821176397,0.15414431
-0.29701239,0.964663637
0.284677945,-0.246231794
0.03661901,0.871614617
-0.882685886,0.561392988
0.463534264,-0.405212004
-1.019288911,0.096581011
1.186579717,-0.503268795
1.064199368,0.203492006
-0.014080176,0.984261861
-0.260530744,0.937733563
0.476118514,0.888052886
-0.899156126,0.370779833
-0.967527154,0.198585697
0.080516056,0.3043941
-0.152795178,0.994968198
0.134036643,-0.026378121
0.342459858,0.048616053
0.789415987,-0.523685357
1.758768152,-0.136356243
0.380486895,0.954451431
0.291564509,-0.184119051
-0.571588615,0.771130523
-0.078581544,0.267424098
-0.897296023,0.405562883
-0.734993333,0.686952318
-0.082653512,0.991224278
0.358198693,-0.181583439
0.458459467,-0.396925334
0.172811111,0.984229231
0.740392872,-0.470820954
1.00605469,0.239333492
-0.431573357,0.914546239
1.696607031,-0.309738429
1.932288601,0.376845788
0.929764525,0.453515664
2.03558773,0.568314539
0.976158203,0.124099437
0.463355149,-0.424724739
-0.601508539,0.752202814
-0.562183299,0.802706425
0.572949111,0.839056554
0.40551937,-0.279835517
1.357518281,-0.454862296
0.096638013,1.01599996
-0.890865791,0.537475684
0.086266127,-0.108600747
-0.282772072,0.980813545
0.471907158,0.92653339
0.366001416,0.86481197
0.657706695,0.909999222
0.563239589,-0.350303643
1.00159374,-0.56499355
1.214815664,-0.449014209
1.486305934,-0.402687795
0.874145099,0.154797497
1.836477696,-0.104013613
0.027895631,0.289414615
-0.02532433,0.509604881
0.616037597,0.919442933
0.028360408,0.46453828
